song_id,entry_date,exit_date,total_days,peak_rank,avg_rank,peak_date,days_to_peak,artist,album_type,is_explicit,duration_ms,total_tracks,popularity,lifecycle_type
0 CONFIANZA-Rvfv,2025-06-02,2025-06-23,20,23,29.65,2025-06-07,5,Rvfv,album,False,217500,20,35,Medium Run
"1 de Enero, Puntacana-Rels B",2025-04-28,2025-04-28,1,45,45.0,2025-04-28,0,Rels B,album,False,95000,13,65,Short Hit
1000COSAS-Lola Indigo & Manuel Turizo,2025-03-10,2025-11-13,245,3,20.428571428571427,2025-03-10,0,Lola Indigo & Manuel Turizo,single,False,239482,1,65,Evergreen
100xCiento-Foreign Teck & Eladio Carrion & De La Ghetto,2025-04-30,2025-05-15,11,13,28.181818181818183,2025-05-11,11,Foreign Teck & Eladio Carrion & De La Ghetto,single,True,219682,1,72,Medium Run
14 FEBREROS-Quevedo,2025-11-24,2025-11-27,4,9,13.5,2025-11-24,0,Quevedo,album,True,172422,18,63,Short Hit
2AM-Sebastian Yatra & Bad Gyal,2025-11-24,2025-11-27,4,31,39.5,2025-11-27,3,Sebastian Yatra & Bad Gyal,single,False,196426,1,55,Short Hit
2xLL-JC Reyes & YOVNGCHIMI & Slayter,2025-07-12,2025-08-09,26,35,40.76923076923077,2025-07-23,11,JC Reyes & YOVNGCHIMI & Slayter,single,False,178909,1,61,Medium Run
3 CAÍDAS-SAIKO,2025-04-28,2025-05-05,8,13,30.75,2025-04-28,0,SAIKO,album,False,251565,16,61,Short Hit
4 PREZ-Cruz Cafuné,2024-05-28,2024-05-29,2,35,40.5,2024-05-28,0,Cruz Cafuné,album,True,149484,23,53,Short Hit
4TO 23-Aitana,2025-07-07,2025-07-16,9,17,35.0,2025-07-07,0,Aitana,single,False,168320,1,58,Short Hit
50 PALOS-Feid,2024-12-02,2024-12-02,1,38,38.0,2024-12-02,0,Feid,album,True,167240,10,0,Short Hit
57-KAROL G & Feid & DFZM,2025-11-10,2025-11-27,18,8,17.833333333333332,2025-11-10,0,KAROL G & Feid & DFZM,single,True,298130,1,69,Medium Run
58-JHAYCO,2025-09-08,2025-09-18,8,35,44.0,2025-09-08,0,JHAYCO,album,False,287586,29,56,Short Hit
69-Nicky Jam & Feid,2024-05-21,2024-06-30,41,22,36.048780487804876,2024-05-31,10,Nicky Jam & Feid,single,True,221935,1,67,Medium Run
